Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,total_onboard,serious_fatal_fraction,Destroyed,Make_Model
20080331X00404,Incident,SEA08IA096,2008-03-26,"Page, AZ",United States,Non-Fatal,Minor,Airplane,Raytheon Aircraft Company,1900D,No,2,Turbo Prop,121,Unknown,0.0,0.0,0.0,13.0,VMC,Unknown,13.0,0.0,0,Raytheon Aircraft Company 1900D
20080410X00450,Accident,CHI08CA094,2008-03-26,"Traverse City, MI",United States,Non-Fatal,Substantial,Airplane,Cessna,182,No,1,Reciprocating,091,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Cessna 182
20080425X00544,Accident,DFW08CA086,2008-03-26,"Plains, KS",United States,Non-Fatal,Substantial,Airplane,Air Tractor,AT-301,No,1,Reciprocating,091,Positioning,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Air Tractor AT-301
20080610X00820,Accident,LAX08LA086,2008-03-26,"Henderson, NV",United States,Non-Fatal,Substantial,Airplane,Cessna,402,No,2,Reciprocating,135,Unknown,0.0,0.0,0.0,9.0,VMC,Unknown,9.0,0.0,0,Cessna 402
20081003X41448,Accident,CHI08LA096,2008-03-26,"Monroe, WI",United States,Non-Fatal,Substantial,Airplane,Cessna,172R,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,0.0,0,Cessna 172R
20080404X00426,Incident,DFW08IA087,2008-03-27,"Houston, TX",United States,Non-Fatal,Minor,Airplane,Boeing,737-524,No,2,Turbo Fan,121,Unknown,0.0,0.0,0.0,118.0,VMC,Unknown,118.0,0.0,0,Boeing 737-524
20080418X00515,Accident,DEN08CA068,2008-03-28,"Mankato, KS",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-150,No,1,Reciprocating,091,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Piper PA-28-150
20080424X00539,Accident,SEA08CA097,2008-03-28,"Phoenix, AZ",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28R-201,No,1,Reciprocating,091,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Piper PA-28R-201
20080509X00643,Accident,DFW08LA089,2008-03-28,"Abbeville, LA",United States,Non-Fatal,Substantial,Airplane,Piper,PA24-260,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,0.0,0,Piper PA24-260
20080609X00816,Accident,LAX08LA088,2008-03-28,"San Diego, CA",United States,Non-Fatal,Substantial,Airplane,Beech,F33A,No,1,Reciprocating,091,Personal,0.0,1.0,0.0,0.0,VMC,Unknown,1.0,1.0,0,Beech F33A
20080804X01152,Accident,ANC08WA045,2008-03-28,"Wainwright, Canada",Canada,Fatal,Destroyed,Airplane,Piper,PA-46-350P,No,Unknown,Unknown,NUSN,Business,5.0,0.0,0.0,0.0,IMC,Unknown,5.0,1.0,1,Piper PA-46-350P
20080402X00414,Accident,DEN08LA069,2008-03-29,"Elizabeth, CO",United States,Non-Fatal,Substantial,Airplane,Cessna,P210N,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,0.0,0,Cessna P210N
20080403X00415,Accident,SEA08LA100,2008-03-30,"Buckeye, AZ",United States,Non-Fatal,Substantial,Airplane,Cessna,182A,No,1,Reciprocating,091,Skydiving,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Cessna 182A
20080501X00578,Accident,LAX08CA111,2008-03-30,"Grand Canyon, AZ",United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-260,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,4.0,VMC,Unknown,4.0,0.0,0,Piper PA-32-260
20080502X00587,Accident,NYC08RA149,2008-03-30,"Farnborough, Ke, United Kingdom",United Kingdom,Fatal,Destroyed,Airplane,Cessna,500,No,Unknown,Unknown,NUSN,Personal,5.0,0.0,0.0,0.0,VMC,Unknown,5.0,1.0,1,Cessna 500
20080610X00819,Accident,LAX08LA089,2008-03-30,"Redding, CA",United States,Non-Fatal,Substantial,Airplane,Cessna,180K,No,1,Reciprocating,091,Personal,0.0,0.0,1.0,0.0,VMC,Unknown,1.0,0.0,0,Cessna 180K
20080407X00434,Accident,ANC08LA046,2008-04-01,"Koliganek, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA-32,No,1,Reciprocating,135,Unknown,0.0,1.0,0.0,0.0,IMC,Unknown,1.0,1.0,0,Piper PA-32
20080421X00522,Accident,LAX08CA090,2008-04-01,"El Cajon, CA",United States,Non-Fatal,Substantial,Airplane,Cessna,152,No,1,Reciprocating,091,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Cessna 152
20080509X00644,Accident,ANC08LA047,2008-04-01,"Ugashik, AK",United States,Non-Fatal,Substantial,Airplane,Piper,PA-22,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Piper PA-22
20080410X00449,Accident,LAX08FA092,2008-04-03,"Benson, AZ",United States,Fatal,Substantial,Airplane,Beech,95-B55,No,2,Reciprocating,091,Business,2.0,0.0,0.0,0.0,VMC,Unknown,2.0,1.0,0,Beech 95-B55
20080430X00574,Accident,SEA08CA102,2008-04-03,"Three Forks, MT",United States,Non-Fatal,Substantial,Airplane,Piper,PA-22/20,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Piper PA-22/20
20080522X00713,Accident,NYC08CA151,2008-04-03,"Columbus, GA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,0.0,0,Piper PA-28-140
20080409X00445,Accident,MIA08LA086,2008-04-04,"New York, NY",United States,Non-Fatal,Substantial,Airplane,Cessna,750,No,2,Turbo Fan,091,Positioning,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,0.0,0,Cessna 750
20080417X00507,Accident,LAX08LA105,2008-04-04,"Tuscaloosa, AL",United States,Non-Fatal,Substantial,Airplane,Raytheon Aircraft Company,B300,No,2,Turbo Prop,091,Positioning,0.0,0.0,0.0,2.0,IMC,Unknown,2.0,0.0,0,Raytheon Aircraft Company B300
20080430X00570,Accident,SEA08CA103,2008-04-04,"Alturas, CA",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-236,No,1,Reciprocating,091,Personal,0.0,1.0,0.0,0.0,VMC,Unknown,1.0,1.0,0,Piper PA-28-236
20080414X00466,Accident,DEN08CA073,2008-04-06,"Fort Collins, CO",United States,Non-Fatal,Substantial,Airplane,Cessna,170B,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Cessna 170B
20080421X00520,Accident,NYC08CA153,2008-04-06,"Lincoln, ME",United States,Non-Fatal,Substantial,Airplane,Luscombe,8A,No,1,Reciprocating,091,Personal,0.0,1.0,0.0,1.0,VMC,Unknown,2.0,0.5,0,Luscombe 8A
20080505X00597,Accident,NYC08LA152,2008-04-06,"Louisville, KY",United States,Non-Fatal,Substantial,Airplane,Cessna,P210N,No,1,Reciprocating,091,Personal,0.0,0.0,1.0,0.0,VMC,Unknown,1.0,0.0,0,Cessna P210N
20080617X00871,Accident,DFW08CA096,2008-04-06,"Porter, TX",United States,Non-Fatal,Substantial,Airplane,Cessna,C-182,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Cessna C-182
20080411X00455,Accident,DFW08LA094,2008-04-07,"Paducah, TX",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-180,No,1,Reciprocating,091,Business,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,0.0,0,Piper PA-28-180
20080505X00596,Accident,SEA08CA107,2008-04-07,"Tucson, AZ",United States,Non-Fatal,Substantial,Airplane,Cessna,152,No,1,Reciprocating,091,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Cessna 152
20080613X00865,Accident,LAX08CA124,2008-04-07,"San Luis Obispo, CA",United States,Non-Fatal,Substantial,Airplane,Cessna,172S,No,1,Reciprocating,091,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Cessna 172S
20080809X01195,Accident,NYC08CA159,2008-04-07,"Vero Beach, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,No,1,Reciprocating,091,Instructional,0.0,1.0,0.0,0.0,VMC,Unknown,1.0,1.0,0,Piper PA-28-161
20080423X00532,Accident,SEA08CA106,2008-04-08,"Redding, CA",United States,Non-Fatal,Substantial,Airplane,Cessna,177RG,No,1,Reciprocating,091,Instructional,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,0.0,0,Cessna 177RG
20080507X00624,Accident,SEA08CA109,2008-04-08,"Bisbee, AZ",United States,Non-Fatal,Substantial,Airplane,Piper,J3C-65,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,0.0,0,Piper J3C-65
20080429X00564,Accident,NYC08WA160,2008-04-09,"Nazca, Peru",Peru,Fatal,Destroyed,Airplane,Cessna,U206C,No,Unknown,Unknown,NUSC,Unknown,5.0,1.0,0.0,0.0,VMC,Unknown,6.0,1.0,1,Cessna U206C
20080528X00742,Accident,ANC08CA049,2008-04-09,"Big Lake, AK",United States,Non-Fatal,Substantial,Airplane,Cessna,185,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,Unknown,2.0,0.0,0,Cessna 185
20080414X00473,Accident,ANC08FA050,2008-04-10,"Unalaska, AK",United States,Non-Fatal,Substantial,Airplane,Grumman,G-21A,No,2,Reciprocating,135,Unknown,0.0,8.0,1.0,0.0,VMC,Unknown,9.0,0.8888888888888888,0,Grumman G-21A
